OBJECTID,Shape,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,SOURCE_REPORTING_UNIT,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
2,b'\x00\x01\xad\x10\x00\x00\xc8\xe594\xe2\x19^\xc0\xa0\xe4\xc51nwC@\xc8\xe594\xe2\x19^\xc0\xa0\xe4\xc51nwC@|\x01\x00\x00\x00\xc8\xe594\xe2\x19^\xc0\xa0\xe4\xc51nwC@\xfe',2,FS-1418827,FED,FS-FIRESTAT,FS,USCAENF,503,13,13,AAC0,PIGEON,,,,,,2004,5/12/2004,133,845.0,Natural,Natural,,5/12/2004,133.0,1530.0,0.25,A,38.93305556,-120.40444444,USFS,CA,61.0,6061.0,Placer County
3,b'\x00\x01\xad\x10\x00\x00x{\xac \x13/^\xc0@\xf2\x03\x01\xf9}C@x{\xac \x13/^\xc0@\xf2\x03\x01\xf9}C@|\x01\x00\x00\x00x{\xac \x13/^\xc0@\xf2\x03\x01\xf9}C@\xfe',3,FS-1418835,FED,FS-FIRESTAT,FS,USCAENF,503,27,021,A32W,SLACK,,,,,,2004,5/31/2004,152,1921.0,Human,Debris and open burning,,5/31/2004,152.0,2024.0,0.1,A,38.98416667,-120.73555556,STATE OR PRIVATE,CA,17.0,6017.0,El Dorado County
4,b'\x00\x01\xad\x10\x00\x00\xc8\x13u\xd7s\xfa]\xc0\xf8\xdbg\x9a\x92GC@\xc8\x13u\xd7s\xfa]\xc0\xf8\xdbg\x9a\x92GC@|\x01\x00\x00\x00\xc8\x13u\xd7s\xfa]\xc0\xf8\xdbg\x9a\x92GC@\xfe',4,FS-1418845,FED,FS-FIRESTAT,FS,USCAENF,503,43,6,,DEER,,,,,,2004,6/28/2004,180,1600.0,Natural,Natural,,7/3/2004,185.0,1400.0,0.1,A,38.55916667,-119.91333333,USFS,CA,3.0,6003.0,Alpine County
5,b'\x00\x01\xad\x10\x00\x00\xd0\x11y\xf8\xb6\xfb]\xc0\xb8\x01j\x9a\x92GC@\xd0\x11y\xf8\xb6\xfb]\xc0\xb8\x01j\x9a\x92GC@|\x01\x00\x00\x00\xd0\x11y\xf8\xb6\xfb]\xc0\xb8\x01j\x9a\x92GC@\xfe',5,FS-1418847,FED,FS-FIRESTAT,FS,USCAENF,503,44,7,,STEVENOT,,,,,,2004,6/28/2004,180,1600.0,Natural,Natural,,7/3/2004,185.0,1200.0,0.1,A,38.55916667,-119.93305556,USFS,CA,3.0,6003.0,Alpine County
6,b'\x00\x01\xad\x10\x00\x00\x04\xb1$Z\xa1\x06^\xc08\x0c\xbb\x9cPQC@\x04\xb1$Z\xa1\x06^\xc08\x0c\xbb\x9cPQC@|\x01\x00\x00\x00\x04\xb1$Z\xa1\x06^\xc08\x0c\xbb\x9cPQC@\xfe',6,FS-1418849,FED,FS-FIRESTAT,FS,USCAENF,503,54,8,,HIDDEN,,,,,,2004,6/30/2004,182,1800.0,Natural,Natural,,7/1/2004,183.0,1600.0,0.1,A,38.63527778,-120.10361111,USFS,CA,5.0,6005.0,Amador County
7,"b'\x00\x01\xad\x10\x00\x00\xf0\xda0\x00\xd0\t^\xc0\x00\xf6\xee""\x1bXC@\xf0\xda0\x00\xd0\t^\xc0\x00\xf6\xee""\x1bXC@|\x01\x00\x00\x00\xf0\xda0\x00\xd0\t^\xc0\x00\xf6\xee""\x1bXC@\xfe'",7,FS-1418851,FED,FS-FIRESTAT,FS,USCAENF,503,58,9,,FORK,,,,,,2004,7/1/2004,183,1800.0,Natural,Natural,,7/2/2004,184.0,1400.0,0.1,A,38.68833333,-120.15333333,USFS,CA,17.0,6017.0,El Dorado County
10,b'\x00\x01\xad\x10\x00\x00\xfc\x12\x07\xbc\x8b\t^\xc0\xc0\x02\xea\x9d/FC@\xfc\x12\x07\xbc\x8b\t^\xc0\xc0\x02\xea\x9d/FC@|\x01\x00\x00\x00\xfc\x12\x07\xbc\x8b\t^\xc0\xc0\x02\xea\x9d/FC@\xfe',10,FS-1418859,FED,FS-FIRESTAT,FS,USCAENF,503,61,10,,TANGLEFOOT,,,,,,2004,7/1/2004,183,1800.0,Natural,Natural,,7/2/2004,184.0,1800.0,0.1,A,38.54833333,-120.14916667,USFS,CA,5.0,6005.0,Amador County
11,b'\x00\x01\xad\x10\x00\x00\x14\x1c!\xad8\n^\xc0\xa8\x1a\x04]\x88XC@\x14\x1c!\xad8\n^\xc0\xa8\x1a\x04]\x88XC@|\x01\x00\x00\x00\x14\x1c!\xad8\n^\xc0\xa8\x1a\x04]\x88XC@\xfe',11,FS-1418861,FED,FS-FIRESTAT,FS,USCAENF,503,64,11,,FORK #2,,,,,,2004,7/2/2004,184,1830.0,Natural,Natural,,7/3/2004,185.0,1900.0,0.1,A,38.69166667,-120.15972222,USFS,CA,17.0,6017.0,El Dorado County
12,b'\x00\x01\xad\x10\x00\x00\xcc5\xf5O\xca\x06^\xc0\xd8ZD\xf3\x84CC@\xcc5\xf5O\xca\x06^\xc0\xd8ZD\xf3\x84CC@|\x01\x00\x00\x00\xcc5\xf5O\xca\x06^\xc0\xd8ZD\xf3\x84CC@\xfe',12,FS-1418863,FED,FS-FIRESTAT,FS,USCAENF,503,71,14,,MOKE #2,,,,,,2004,7/2/2004,184,1730.0,Natural,Natural,,7/3/2004,185.0,2000.0,0.1,A,38.5275,-120.10611111,USFS,CA,5.0,6005.0,Amador County
13,b'\x00\x01\xad\x10\x00\x00\x04jE\\_\x0c^\xc08\xed\xbbR\xb1dC@\x04jE\\_\x0c^\xc08\xed\xbbR\xb1dC@|\x01\x00\x00\x00\x04jE\\_\x0c^\xc08\xed\xbbR\xb1dC@\xfe',13,FS-1418865,FED,FS-FIRESTAT,FS,USCAENF,503,91,26,,WRIGHTS,,,,,,2004,9/3/2004,247,1600.0,Human,Missing data/not specified/undetermined,,9/3/2004,247.0,1630.0,0.1,A,38.78666667,-120.19333333,USFS,CA,17.0,6017.0,El Dorado County
14,b'\x00\x01\xad\x10\x00\x00d\xbe\x85\xa0\xa3 ^\xc0X\x18PLw7C@d\xbe\x85\xa0\xa3 ^\xc0X\x18PLw7C@|\x01\x00\x00\x00d\xbe\x85\xa0\xa3 ^\xc0X\x18PLw7C@\xfe',14,FS-1418872,FED,FS-FIRESTAT,FS,USCAENF,503,99,21,,TIGER,,,,,,2004,9/28/2004,272,1200.0,Human,Recreation and ceremony,,9/28/2004,272.0,1800.0,6.0,B,38.43333333,-120.51,MISSING/NOT SPECIFIED,CA,5.0,6005.0,Amador County
15,b'\x00\x01\xad\x10\x00\x00p\xbc\x89\xc1\xe6\x11^\xc0\xb0\xfbl\x89\x81VC@p\xbc\x89\xc1\xe6\x11^\xc0\xb0\xfbl\x89\x81VC@|\x01\x00\x00\x00p\xbc\x89\xc1\xe6\x11^\xc0\xb0\xfbl\x89\x81VC@\xfe',15,FS-1418874,FED,FS-FIRESTAT,FS,USCAENF,503,102,28,,BROWN,,,,,,2004,10/3/2004,277,630.0,Natural,Natural,,10/3/2004,277.0,1500.0,0.2,A,38.67583333,-120.27972222,USFS,CA,17.0,6017.0,El Dorado County
16,"b'\x00\x01\xad\x10\x00\x00\xa8x8\x8e\xb3""^\xc0(\xe2\xd4q6HC@\xa8x8\x8e\xb3""^\xc0(\xe2\xd4q6HC@|\x01\x00\x00\x00\xa8x8\x8e\xb3""^\xc0(\xe2\xd4q6HC@\xfe'",16,FS-1418876,FED,FS-FIRESTAT,FS,USCAENF,503,103,22,,SOPIAGO,,,,,,2004,10/3/2004,277,930.0,Natural,Natural,,10/3/2004,277.0,1400.0,0.1,A,38.56416667,-120.54222222,USFS,CA,17.0,6017.0,El Dorado County
17,b'\x00\x01\xad\x10\x00\x00\xf8{\xfe\xbb\x8b\r^\xc0\xd0\xd7\xc5j\xfcBC@\xf8{\xfe\xbb\x8b\r^\xc0\xd0\xd7\xc5j\xfcBC@|\x01\x00\x00\x00\xf8{\xfe\xbb\x8b\r^\xc0\xd0\xd7\xc5j\xfcBC@\xfe',17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,503,109,23,,POWER,2004_CA-ENF-017646_POWER,,CA3850212028020041006,POWER,,2004,10/6/2004,280,1415.0,Human,Equipment and vehicle use,,10/21/2004,295.0,1000.0,16823.0,G,38.52333333,-120.21166667,USFS,CA,5.0,6005.0,Amador County
18,b'\x00\x01\xad\x10\x00\x00\xc4\x85\x82\xa0\xa3\x10^\xc0@\xda\xb1\xde\xd6cC@\xc4\x85\x82\xa0\xa3\x10^\xc0@\xda\xb1\xde\xd6cC@|\x01\x00\x00\x00\xc4\x85\x82\xa0\xa3\x10^\xc0@\xda\xb1\xde\xd6cC@\xfe',18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,503,111,35,BHA3,FREDS,2004_CA-ENF-18044_FREDS,,CA3878712031820041013,FREDS,,2004,10/13/2004,287,1618.0,Human,Power generation/transmission/distribution,,10/17/2004,291.0,1800.0,7700.0,G,38.78,-120.26,USFS,CA,17.0,6017.0,El Dorado County
19,b'\x00\x01\xad\x10\x00\x00\x04\x17q\x88X\x1a^\xc0\x80T\xfd\x96\xf5xC@\x04\x17q\x88X\x1a^\xc0\x80T\xfd\x96\xf5xC@|\x01\x00\x00\x00\x04\x17q\x88X\x1a^\xc0\x80T\xfd\x96\xf5xC@\xfe',19,FS-1418884,FED,FS-FIRESTAT,FS,USCAENF,503,115,22,,HARTLESS,,,,,,2004,11/20/2004,325,2000.0,Human,Debris and open burning,,11/21/2004,326.0,1630.0,0.1,A,38.945,-120.41166667,STATE OR PRIVATE,CA,17.0,6017.0,El Dorado County
91,b'\x00\x01\xad\x10\x00\x00\x90\xc8\xf5\xf1[3^\xc0\x10\xad\xde\xe6\xef}C@\x90\xc8\xf5\xf1[3^\xc0\x10\xad\xde\xe6\xef}C@|\x01\x00\x00\x00\x90\xc8\xf5\xf1[3^\xc0\x10\xad\xde\xe6\xef}C@\xfe',92,FS-1419077,FED,FS-FIRESTAT,FS,USCAENF,503,4,2,BV7R,ROBIN,,,,,,2005,6/25/2005,176,905.0,Human,Debris and open burning,,6/25/2005,176.0,1332.0,0.1,A,38.98388889,-120.8025,STATE OR PRIVATE,CA,,,
381,b'\x00\x01\xad\x10\x00\x00\xf8U\xf0C\x142^\xc0\xc8\xe6\x02\xe8\xcerC@\xf8U\xf0C\x142^\xc0\xc8\xe6\x02\xe8\xcerC@|\x01\x00\x00\x00\xf8U\xf0C\x142^\xc0\xc8\xe6\x02\xe8\xcerC@\xfe',387,FS-1419697,FED,FS-FIRESTAT,FS,USCAENF,503,6,3,BX3F,DARLING,,,,,,2005,7/3/2005,184,1817.0,Human,Debris and open burning,,7/3/2005,184.0,1918.0,0.1,A,38.89694444,-120.7825,STATE OR PRIVATE,CA,,,
1883,b'\x00\x01\xad\x10\x00\x00\xe4\xc4w\x92/.^\xc0\xe0\xdeB\x7f\xaazC@\xe4\xc4w\x92/.^\xc0\xe0\xdeB\x7f\xaazC@|\x01\x00\x00\x00\xe4\xc4w\x92/.^\xc0\xe0\xdeB\x7f\xaazC@\xfe',1898,FS-1422941,FED,FS-FIRESTAT,FS,USCAENF,503,7,004,BYG6,CHRISTMAS,,,,,,2005,7/5/2005,186,1306.0,Human,Debris and open burning,,7/5/2005,186.0,1550.0,0.3,B,38.95833333,-120.72166667,STATE OR PRIVATE,CA,,,
1895,b'\x00\x01\xad\x10\x00\x00\xa0\xba\xcf\xdd\xad\x17^\xc0\xa0\xe1}\x8a`sC@\xa0\xba\xcf\xdd\xad\x17^\xc0\xa0\xe1}\x8a`sC@|\x01\x00\x00\x00\xa0\xba\xcf\xdd\xad\x17^\xc0\xa0\xe1}\x8a`sC@\xfe',1910,FS-1422971,FED,FS-FIRESTAT,FS,USCAENF,503,15,003,B3N0,WENCH,,,,,,2005,8/8/2005,220,1535.0,Human,Smoking,,8/8/2005,220.0,1711.0,0.1,A,38.90138889,-120.37,USFS,CA,,,
1898,b'\x00\x01\xad\x10\x00\x00\xb0s\xc0\xcc\x9c\x16^\xc0\xf8\x98\x84\x82GqC@\xb0s\xc0\xcc\x9c\x16^\xc0\xf8\x98\x84\x82GqC@|\x01\x00\x00\x00\xb0s\xc0\xcc\x9c\x16^\xc0\xf8\x98\x84\x82GqC@\xfe',1913,FS-1422977,FED,FS-FIRESTAT,FS,USCAENF,503,18,004,B4D3,MILLIONAIRE,,,,,,2005,8/16/2005,228,850.0,Human,Recreation and ceremony,,8/16/2005,228.0,1017.0,0.1,A,38.885,-120.35333333,USFS,CA,,,
1905,b'\x00\x01\xad\x10\x00\x00\xa4\xf1Z\xf5\xf85^\xc0\xc0\x1a<\xc0QxC@\xa4\xf1Z\xf5\xf85^\xc0\xc0\x1a<\xc0QxC@|\x01\x00\x00\x00\xa4\xf1Z\xf5\xf85^\xc0\xc0\x1a<\xc0QxC@\xfe',1920,FS-1422995,FED,FS-FIRESTAT,FS,USCAENF,503,29,7,B5EW,BOTTLE,,,,,,2005,8/28/2005,240,2015.0,Human,Arson/incendiarism,,8/28/2005,240.0,2337.0,0.1,A,38.94,-120.84333333,STATE OR PRIVATE,CA,,,
